0.5 2.27202
1 2.05125
1.5 2.09311
2 2.19412
2.5 2.33736
3 2.49492
3.5 2.67453
4 2.88729
4.5 3.12949
5 3.40183
5.5 3.64045
6 3.91429
6.5 4.21444
7 4.50973
7.5 4.88954
8 5.19402
